date,value
18-02-2000,0.2536
05-03-2000,0.2162
21-03-2000,0.2616
06-04-2000,0.2334
22-04-2000,0.3575
08-05-2000,0.3785
24-05-2000,0.4603
09-06-2000,0.382
25-06-2000,0.3335
11-07-2000,0.3279
27-07-2000,0.3312
12-08-2000,0.2924
28-08-2000,0.3319
13-09-2000,0.3582
29-09-2000,0.3377
15-10-2000,0.2585
31-10-2000,0.384
16-11-2000,0.3584
02-12-2000,0.304
18-12-2000,0.2857
01-01-2001,0.3084
17-01-2001,0.2434
02-02-2001,0.3587
18-02-2001,0.3092
06-03-2001,0.4274
22-03-2001,0.3454
07-04-2001,0.4528
23-04-2001,0.4292
09-05-2001,0.4626
25-05-2001,0.3613
10-06-2001,0.3368
26-06-2001,0.345
12-07-2001,0.3079
28-07-2001,0.2903
13-08-2001,0.3182
29-08-2001,0.3355
14-09-2001,0.3554
30-09-2001,0.3701
16-10-2001,0.3595
01-11-2001,0.3282
17-11-2001,0.2781
03-12-2001,0.2132
19-12-2001,0.2866
01-01-2002,0.0655
17-01-2002,0.3188
02-02-2002,0.2152
18-02-2002,0.-2019
06-03-2002,0.3017
22-03-2002,0.1169
07-04-2002,0.3171
23-04-2002,0.3444
09-05-2002,0.4346
25-05-2002,0.3749
10-06-2002,0.3838
26-06-2002,0.3946
12-07-2002,0.4123
28-07-2002,0.3436
13-08-2002,0.3615
29-08-2002,0.4059
14-09-2002,0.3663
30-09-2002,0.3634
16-10-2002,0.43
01-11-2002,0.3731
17-11-2002,0.2823
03-12-2002,0.3981
19-12-2002,0.307
01-01-2003,0.2093
17-01-2003,0.2655
02-02-2003,0.2677
18-02-2003,0.0958
06-03-2003,0.2215
22-03-2003,0.2726
07-04-2003,0.2843
23-04-2003,0.4544
09-05-2003,0.41
25-05-2003,0.3761
10-06-2003,0.3879
26-06-2003,0.3582
12-07-2003,0.3509
28-07-2003,0.2886
13-08-2003,0.3287
29-08-2003,0.3273
14-09-2003,0.3961
30-09-2003,0.3702
16-10-2003,0.3185
01-11-2003,0.4502
17-11-2003,0.5116
03-12-2003,0.1513
19-12-2003,0.4313
01-01-2004,0.107
17-01-2004,0.3979
02-02-2004,0.215
18-02-2004,0.195
05-03-2004,0.3196
21-03-2004,0.3755
06-04-2004,0.2445
22-04-2004,0.4405
08-05-2004,0.3456
24-05-2004,0.3851
09-06-2004,0.4363
25-06-2004,0.3615
11-07-2004,0.3676
27-07-2004,0.3838
12-08-2004,0.4451
28-08-2004,0.4642
13-09-2004,0.4043
29-09-2004,0.4168
15-10-2004,0.4528
31-10-2004,0.3022
16-11-2004,0.4479
02-12-2004,0.4508
18-12-2004,0.2209
01-01-2005,0.2391
17-01-2005,0.3112
02-02-2005,0.039
18-02-2005,0.3994
06-03-2005,0.-2018
22-03-2005,0.4391
07-04-2005,0.2881
23-04-2005,0.4715
09-05-2005,0.3874
25-05-2005,0.4143
10-06-2005,0.3352
26-06-2005,0.4057
12-07-2005,0.4147
28-07-2005,0.3456
13-08-2005,0.3308
29-08-2005,0.3422
14-09-2005,0.4064
30-09-2005,0.3562
16-10-2005,0.3917
01-11-2005,0.3702
17-11-2005,0.4143
03-12-2005,0.5215
19-12-2005,0.421
01-01-2006,0.421
17-01-2006,0.206
02-02-2006,0.261
18-02-2006,0.2756
06-03-2006,0.3383
22-03-2006,0.279
07-04-2006,0.3458
23-04-2006,0.4661
09-05-2006,0.4486
25-05-2006,0.3674
10-06-2006,0.4417
26-06-2006,0.3821
12-07-2006,0.2809
28-07-2006,0.3247
13-08-2006,0.3263
29-08-2006,0.4012
14-09-2006,0.3576
30-09-2006,0.3297
16-10-2006,0.2779
01-11-2006,0.4263
17-11-2006,0.4297
03-12-2006,0.3079
19-12-2006,0.3151
01-01-2007,0.3568
17-01-2007,0.3053
02-02-2007,0.2903
18-02-2007,0.2219
06-03-2007,0.226
22-03-2007,0.3795
07-04-2007,0.3028
23-04-2007,0.3276
09-05-2007,0.4389
25-05-2007,0.4098
10-06-2007,0.3401
26-06-2007,0.3533
12-07-2007,0.4202
28-07-2007,0.351
13-08-2007,0.3163
29-08-2007,0.2945
14-09-2007,0.3292
30-09-2007,0.3213
16-10-2007,0.4024
01-11-2007,0.3572
17-11-2007,0.3172
03-12-2007,0.3644
19-12-2007,0.2738
01-01-2008,0.3295
17-01-2008,0.2118
02-02-2008,0.2235
18-02-2008,0.2475
